年度,輸送人キロ（100万人キロ）,東京・新大阪最短所要時間（分）,GDP per capita (constant LCU)（100万円）,GDP (constant LCU)（100万円）,"Population, total（100万人）","Population ages 65 and above, total（100万人）","Population ages 15-64, total（100万人）","Population ages 0-14, total（100万人）","Life expectancy at birth, total (years)","Unemployment, total (% of total labor force) (national estimate)",大学（学部）への進学率（過年度高卒者等を含む）,埼玉県（100万人）,千葉県（100万人）,東京都（100万人）,神奈川県（100万人）,岐阜県（100万人）,静岡県（100万人）,愛知県（100万人）,三重県（100万人）,滋賀県（100万人）,京都府（100万人）,大阪府（100万人）,兵庫県（100万人）,奈良県（100万人）,和歌山県（100万人）
1987,321,169,2.824694089,344869726,122.091,13.081272,83.955355,25.054373,78.48365854,2.839999914,24.7,6.071,5.307,11.887,7.684,2.044,3.619,6.566,1.765,1.178,2.601,8.737,5.319,1.333,1.079
1988,363,169,3.013681331,369516509,122.613,13.565207,84.784799,24.262994,78.39926829,2.50999999,25.1,6.195,5.403,11.873,7.794,2.051,3.639,6.606,1.772,1.191,2.604,8.748,5.344,1.347,1.076
1989,374,169,3.162546778,389360109.1,123.116,14.093674,85.52582,23.496506,78.81804878,2.25999999,24.7,6.308,5.487,11.863,7.891,2.058,3.657,6.649,1.782,1.206,2.604,8.744,5.372,1.363,1.074
1990,413,169,3.327398312,411056805.2,123.537,14.662174,86.051685,22.823141,78.83682927,2.099999905,24.6,6.405319,5.555429,11.855563,7.980391,2.066569,3.67084,6.690603,1.792514,1.222411,2.60246,8.734516,5.40504,1.375481,1.074325
1991,418,150,3.427358835,424721734.2,123.921,15.252247,86.461782,22.206971,79.10073171,2.089999914,25.5,6.486,5.617,11.894,8.05,2.073,3.687,6.729,1.803,1.235,2.608,8.75,5.426,1.388,1.076
1992,407,150,3.446862907,428200332,124.229,15.874231,86.692319,21.662451,79.15390244,2.160000086,26.4,6.567,5.679,11.887,8.116,2.082,3.704,6.776,1.814,1.248,2.615,8.761,5.443,1.4,1.076
1993,405,150,3.444247632,428932823.1,124.536,16.528048,86.814181,21.193771,79.29365854,2.50999999,28,6.64,5.731,11.849,8.166,2.089,3.716,6.81,1.823,1.261,2.618,8.762,5.457,1.412,1.077
1994,389,150,3.462176148,432636993.7,124.961,17.219583,86.964492,20.776926,79.68707317,2.890000105,30.1,6.703,5.767,11.796,8.207,2.095,3.729,6.839,1.833,1.273,2.622,8.759,5.469,1.42,1.08
1995,398,150,3.543559888,444500608.8,125.439,17.93465,87.125896,20.378454,79.53634146,3.150000095,32.1,6.759311,5.797782,11.773605,8.2459,2.100315,3.737689,6.868336,1.841358,1.287005,2.629592,8.797268,5.401877,1.430862,1.080435
1996,410,150,3.64416944,458279816.3,125.757,18.652614,87.113694,19.990692,80.2002439,3.349999905,33.4,6.804,5.817,11.808,8.279,2.104,3.745,6.897,1.846,1.298,2.634,8.807,5.421,1.437,1.079
1997,411,150,3.674633318,463213252.2,126.057,19.374375,87.033835,19.64879,80.42414634,3.390000105,34.9,6.841,5.839,11.881,8.319,2.106,3.752,6.931,1.851,1.31,2.638,8.808,5.455,1.442,1.078
1998,394,150,3.623296701,457984703,126.4,20.107865,86.94684,19.345295,80.50146341,4.110000134,36.4,6.877,5.867,11.939,8.383,2.108,3.758,6.973,1.855,1.323,2.643,8.813,5.494,1.443,1.076
1999,389,150,3.607573897,456830690.1,126.631,20.826061,86.762009,19.04293,80.57073171,4.679999828,38.2,6.906,5.893,11.983,8.432,2.107,3.761,7.006,1.856,1.332,2.645,8.813,5.528,1.444,1.074
