コンビニ名 ,住所,チェーン店舗,LocName,fX,fY,iConf,iLvl
サンクス西長堀店 ,大阪市西区南堀江3-12-17 ,サンクス,大阪府/大阪市/西区/南堀江/三丁目/１２番,135.4877,34.67272,5,7
サンクス大阪新町４丁目店 ,大阪市西区新町4丁目2番2 ,サンクス,大阪府/大阪市/西区/新町/四丁目/２番,135.48669,34.67756,5,7
サンクス江戸堀１丁目店 ,大阪市西区江戸堀1丁目25-22 ,サンクス,大阪府/大阪市/西区/江戸堀/一丁目/２５番,135.49258,34.68848,5,7
サンクスミニ大阪日生病院店 ,大阪市西区立売堀6-3-8 日生病院7階 ,サンクス,大阪府/大阪市/西区/立売堀/六丁目/３番,135.48474,34.67973,5,7
サンクス阿波座店 ,大阪市西区西本町3丁目1番7号 ,サンクス,大阪府/大阪市/西区/西本町/三丁目/１番,135.48625,34.68182,5,7
セブンイレブン大阪ナインモール九条店 ,大阪市西区九条1丁目16-18 ,セブンイレブン,大阪府/大阪市/西区/九条/一丁目/１６番,135.47719,34.6743,5,7
セブンイレブン大阪九条南2丁目店 ,大阪市西区九条南2-6-10 ,セブンイレブン,大阪府/大阪市/西区/九条南/二丁目/６番,135.47273,34.67408,5,7
セブンイレブン大阪京町堀1丁目店 ,大阪市西区京町堀1丁目15-10 ,セブンイレブン,大阪府/大阪市/西区/京町堀/一丁目/１５番,135.493,34.68634,5,7
セブンイレブン四ツ橋北堀江店 ,大阪市西区北堀江1丁目1番21号 ,セブンイレブン,大阪府/大阪市/西区/北堀江/一丁目/１番,135.49736,34.67362,5,7
セブンイレブン大阪西大橋駅前店 ,大阪市西区北堀江1丁目20-11号 ,セブンイレブン,大阪府/大阪市/西区/北堀江/一丁目/２０番,135.49405,34.67508,5,7
セブンイレブン大阪北堀江2丁目店 ,大阪市西区北堀江2丁目4-26 ,セブンイレブン,大阪府/大阪市/西区/北堀江/二丁目/４番,135.49245,34.67312,5,7
セブンイレブン大阪北堀江3丁目店 ,大阪市西区北堀江3-1-20 ,セブンイレブン,大阪府/大阪市/西区/北堀江/三丁目/１番,135.49002,34.67524,5,7
セブンイレブン四ツ橋南堀江店 ,大阪市西区南堀江1-11-17 ,セブンイレブン,大阪府/大阪市/西区/南堀江/一丁目/１１番,135.49611,34.67217,5,7
セブンイレブン大阪南堀江1丁目店 ,大阪市西区南堀江1-24-15 ,セブンイレブン,大阪府/大阪市/西区/南堀江/一丁目/２４番,135.49323,34.67154,5,7
セブンイレブン大阪南堀江1丁目南店 ,大阪市西区南堀江1丁目18-15 ,セブンイレブン,大阪府/大阪市/西区/南堀江/一丁目/１８番,135.49411,34.6701,5,7
セブンイレブン大阪南堀江4丁目店 ,大阪市西区南堀江4-3-18 ,セブンイレブン,大阪府/大阪市/西区/南堀江/四丁目/３番,135.48611,34.67187,5,7
セブンイレブン大阪土佐堀ダイビル店 ,大阪市西区土佐堀2-2-1 ,セブンイレブン,大阪府/大阪市/西区/土佐堀/二丁目/２番,135.49059,34.68865,5,7
セブンイレブン大阪境川1丁目店 ,大阪市西区境川1丁目1-31 ,セブンイレブン,大阪府/大阪市/西区/境川/一丁目/１番,135.47353,34.66874,5,7
セブンイレブン大阪川口2丁目店 ,大阪市西区川口2丁目17-7 ,セブンイレブン,大阪府/大阪市/西区/川口/二丁目,135.479875,34.680694,5,8
セブンイレブン大阪新町3丁目店 ,大阪市西区新町3丁目6-14 ,セブンイレブン,大阪府/大阪市/西区/新町/三丁目/６番,135.48956,34.67561,5,7
セブンイレブン大阪新町4丁目店 ,大阪市西区新町4丁目16-5 ,セブンイレブン,大阪府/大阪市/西区/新町/四丁目/１６番,135.48409,34.67622,5,7
セブンイレブン大阪本田3丁目店 ,大阪市西区本田3-3-11 ,セブンイレブン,大阪府/大阪市/西区/本田/三丁目/３番,135.47513,34.67725,5,7
セブンイレブン大阪本田4丁目店 ,大阪市西区本田4丁目7-2 ,セブンイレブン,大阪府/大阪市/西区/本田/四丁目/７番,135.47293,34.6794,5,7
セブンイレブン大阪江之子島1丁目店 ,大阪市西区江之子島1丁目7-2 ,セブンイレブン,大阪府/大阪市/西区/江之子島/一丁目/７番,135.48529,34.68267,5,7
セブンイレブン大阪肥後橋駅前店 ,大阪市西区江戸堀1丁目13-2 ,セブンイレブン,大阪府/大阪市/西区/江戸堀/一丁目/１３番,135.496,34.6918,5,7
セブンイレブン大阪江戸堀1丁目西店 ,大阪市西区江戸堀1丁目19番10号 ,セブンイレブン,大阪府/大阪市/西区/江戸堀/一丁目/１９番,135.49487,34.68932,5,7
セブンイレブン大阪江戸堀1丁目店 ,大阪市西区江戸堀1丁目6-17 ,セブンイレブン,大阪府/大阪市/西区/江戸堀/一丁目/６番,135.49701,34.68978,5,7
セブンイレブン大阪江戸堀3丁目店 ,大阪市西区江戸堀3-6-33 ,セブンイレブン,大阪府/大阪市/西区/江戸堀/三丁目/６番,135.48569,34.68558,5,7
セブンイレブン大阪立売堀1丁目店 ,大阪市西区立売堀1-14-20 ,セブンイレブン,大阪府/大阪市/西区/立売堀/一丁目/１４番,135.49376,34.67918,5,7
セブンイレブン大阪立売堀1丁目東店 ,大阪市西区立売堀1丁目4-22 ,セブンイレブン,大阪府/大阪市/西区/立売堀/一丁目/４番,135.49638,34.67942,5,7
セブンイレブン大阪立売堀3丁目店 ,大阪市西区立売堀3-8-17 ,セブンイレブン,大阪府/大阪市/西区/立売堀/三丁目/８番,135.4894,34.6808,5,7
セブンイレブン大阪立売堀5丁目店 ,大阪市西区立売堀5丁目4番 ,セブンイレブン,大阪府/大阪市/西区/立売堀/五丁目/４番,135.48586,34.67951,5,7
セブンイレブン大阪西本町2丁目店 ,大阪市西区西本町2丁目4-19 ,セブンイレブン,大阪府/大阪市/西区/西本町/二丁目/４番,135.49068,34.68246,5,7
セブンイレブン大阪阿波座1丁目店 ,大阪市西区阿波座1丁目3-15 ,セブンイレブン,大阪府/大阪市/西区/阿波座/一丁目/３番,135.49718,34.68098,5,7
セブンイレブン大阪阿波座2丁目店 ,大阪市西区阿波座2丁目1-1 ,セブンイレブン,大阪府/大阪市/西区/阿波座/二丁目/１番,135.49263,34.68072,5,7
セブンイレブン大阪靱本町1丁目店 ,大阪市西区靱本町1丁目4-8 ,セブンイレブン,大阪府/大阪市/西区/靱本町/一丁目/４番,135.49745,34.68427,5,7
セブンイレブン大阪靱本町2丁目店 ,大阪市西区靱本町2-3-2 ,セブンイレブン,大阪府/大阪市/西区/靱本町/二丁目/３番,135.49222,34.68357,5,7
セブンイレブン大阪新町2丁目店 ,大阪市西区新町2-3-5 ,セブンイレブン,大阪府/大阪市/西区/新町/二丁目/３番,135.49277,34.67775,5,7
セブンイレブン大阪靭本町3丁目店 ,大阪市西区靱本町3丁目1-17 ,セブンイレブン,大阪府/大阪市/西区/靱本町/三丁目/１番,135.48877,34.68401,5,7
デイリーヤマザキフォレオドームシティ店 ,大阪市西区九条南1-12-33 ,デイリーヤマザキ,大阪府/大阪市/西区/九条南/一丁目/１２番,135.47395,34.66961,5,7
デイリーヤマザキ肥後橋駅前店 ,大阪市西区江戸堀1-13-10 ,デイリーヤマザキ,大阪府/大阪市/西区/江戸堀/一丁目/１３番,135.496,34.6918,5,7
ファミリーマート九条店 ,大阪市西区九条1-13-12 ,ファミリーマート,大阪府/大阪市/西区/九条/一丁目/１３番,135.47534,34.67536,5,7
ファミリーマート九条みなと通店 ,大阪市西区九条1丁目1-1K'sコート ,ファミリーマート,大阪府/大阪市/西区/九条/一丁目/１番,135.47801,34.67552,5,7
ファミリーマート九条南二丁目店 ,大阪市西区九条南2丁目32-13 ,ファミリーマート,大阪府/大阪市/西区/九条南/二丁目/３２番,135.47244,34.67086,5,7
ファミリーマート九条駅南店 ,大阪市西区九条南3-1-18 ,ファミリーマート,大阪府/大阪市/西区/九条南/三丁目/１番,135.47148,34.67497,5,7
ファミリーマート京町堀店 ,大阪市西区京町堀1-4-16センチュリービル1F ,ファミリーマート,大阪府/大阪市/西区/京町堀/一丁目/４番,135.49722,34.68798,5,7
ファミリーマート四ツ橋駅前店 ,大阪市西区北堀江1-7-6 ,ファミリーマート,大阪府/大阪市/西区/北堀江/一丁目/７番,135.49641,34.67495,5,7
ファミリーマート四ツ橋駅東店 ,大阪市西区北堀江1丁目1-30四ツ橋グリーンビル ,ファミリーマート,大阪府/大阪市/西区/北堀江/一丁目/１番,135.49736,34.67362,5,7
ファミリーマート北堀江一丁目店 ,大阪市西区北堀江1丁目23-14 ,ファミリーマート,大阪府/大阪市/西区/北堀江/一丁目/２３番,135.49358,34.67303,5,7
ファミリーマート北堀江四丁目店 ,大阪市西区北堀江4-5-2 ,ファミリーマート,大阪府/大阪市/西区/北堀江/四丁目/５番,135.48503,34.67326,5,7
ファミリーマート南堀江店 ,大阪市西区南堀江1-17-7 ,ファミリーマート,大阪府/大阪市/西区/南堀江/一丁目/１７番,135.495,34.66999,5,7
ファミリーマート南堀江一丁目店 ,大阪市西区南堀江1-18-27 ,ファミリーマート,大阪府/大阪市/西区/南堀江/一丁目/１８番,135.49411,34.6701,5,7
ファミリーマート四ツ橋南堀江店 ,大阪市西区南堀江1丁目11-6 ,ファミリーマート,大阪府/大阪市/西区/南堀江/一丁目/１１番,135.49611,34.67217,5,7
ファミリーマート南堀江四丁目店 ,大阪市西区南堀江4丁目2番1号 ,ファミリーマート,大阪府/大阪市/西区/南堀江/四丁目/２番,135.48615,34.67247,5,7
ファミリーマートＫ２土佐堀一丁目店 ,大阪市西区土佐堀1丁目3-7肥後橋シミズビル ,ファミリーマート,大阪府/大阪市/西区/土佐堀/一丁目/３番,135.494,34.69109,5,7
ファミリーマート新町店 ,大阪市西区新町1-24-3 ,ファミリーマート,大阪府/大阪市/西区/新町/一丁目/２４番,135.49561,34.67615,5,7
ファミリーマート新町二丁目店 ,大阪市西区新町2丁目20-8 ,ファミリーマート,大阪府/大阪市/西区/新町/二丁目/２０番,135.49112,34.67598,5,7
ファミリーマート四ツ橋北店 ,大阪市西区新町一丁目3番12号四ツ橋セントラルビル1F ,ファミリーマート,大阪府/大阪市/西区/新町/一丁目/３番,135.49731,34.67719,5,7
ファミリーマート江戸堀一丁目店 ,大阪市西区江戸堀1丁目10-2肥後橋ニッタイビル ,ファミリーマート,大阪府/大阪市/西区/江戸堀/一丁目/１０番,135.49586,34.68955,5,7
ファミリーマート江戸堀三丁目店 ,大阪市西区江戸堀3丁目1-35 ,ファミリーマート,大阪府/大阪市/西区/江戸堀/三丁目/１番,135.48758,34.68628,5,7
ファミリーマート立売堀一丁目店 ,大阪市西区立売堀1丁目6-13南本町天祥ビル ,ファミリーマート,大阪府/大阪市/西区/立売堀/一丁目/６番,135.49637,34.68027,5,7
ファミリーマート阿波座駅前店 ,大阪市西区立売堀5丁目1番11号 ,ファミリーマート,大阪府/大阪市/西区/立売堀/五丁目/１番,135.48607,34.68069,5,7
ファミリーマート西本町一丁目店 ,大阪市西区西本町1-8-14 ,ファミリーマート,大阪府/大阪市/西区/西本町/一丁目/８番,135.49565,34.68337,5,7
ファミリーマート西本町なにわ筋店 ,大阪市西区西本町1丁目15-10 ,ファミリーマート,大阪府/大阪市/西区/西本町/一丁目/１５番,135.49367,34.68225,5,7
