市区町村コード,都道府県名,市区町村名,総数（産業大分類）,Ａ_農業，林業,Ｂ_漁業,Ｃ_鉱業，採石業，砂利採取業,Ｄ_建設業,Ｅ_製造業,Ｆ_電気・ガス・熱供給・水道業,Ｇ_情報通信業,Ｈ_運輸業，郵便業,Ｉ_卸売業，小売業,Ｊ_金融業，保険業,Ｋ_不動産業，物品賃貸業,Ｌ_学術研究，専門・技術サービス業,Ｍ_宿泊業，飲食サービス業,Ｎ_生活関連サービス業，娯楽業,Ｏ_教育，学習支援業,Ｐ_医療，福祉,Ｑ_複合サービス事業,Ｒ_サービス業（他に分類されないもの）,Ｓ_公務（他に分類されるものを除く）,Ｔ_分類不能の産業
0,全国,全国,58919036,2067952,153747,22281,4341338,9557215,283193,1680205,3044741,9001414,1428710,1197560,1919125,3249190,2072228,2661560,7023950,483014,3543689,2025988,3161936
30201,和歌山県,和歌山市,162655,2774,249,21,12255,24818,1176,2312,8740,26322,4613,2878,4313,8938,5583,7964,23973,1067,9600,7121,7938
30202,和歌山県,海南市,23747,2149,42,0,1584,4644,168,258,1078,3723,511,257,493,842,727,1119,3432,320,1286,957,157
30203,和歌山県,橋本市,29434,1790,6,5,1536,4770,219,452,1442,4563,677,405,625,1424,1082,1748,4746,426,1700,1389,429
30204,和歌山県,有田市,13457,1664,314,0,1232,2487,55,53,538,1885,238,93,181,475,369,469,1728,174,597,468,437
30205,和歌山県,御坊市,11261,1291,79,0,987,1480,162,77,347,1807,211,105,184,633,438,488,1673,211,543,484,61
30206,和歌山県,田辺市,35365,4203,146,6,2969,3656,190,290,1095,5741,614,459,746,2640,1298,1593,5150,789,1864,1398,518
30207,和歌山県,新宮市,12457,221,31,13,1248,762,121,104,462,2468,310,180,221,1012,520,629,2167,194,786,671,337
30208,和歌山県,紀の川市,31096,5693,11,11,1910,4703,129,253,1703,4054,496,256,622,939,901,1355,4285,515,1363,1181,716
30209,和歌山県,岩出市,25065,795,5,6,1880,3933,141,277,1841,4341,537,372,568,1266,964,1190,3759,230,1221,974,765
30304,和歌山県,海草郡紀美野町,4315,571,2,0,280,877,25,32,181,514,59,18,82,133,155,204,611,73,281,213,4
30341,和歌山県,伊都郡かつらぎ町,8565,2024,4,6,482,1312,40,52,331,975,114,56,101,308,278,431,990,155,412,370,124
30343,和歌山県,伊都郡九度山町,2141,435,0,1,97,283,11,16,99,252,27,13,19,73,48,102,276,30,128,93,138
30344,和歌山県,伊都郡高野町,1734,56,0,0,81,127,4,9,30,307,8,2,15,153,50,79,99,13,564,100,37
30361,和歌山県,有田郡湯浅町,5792,831,71,0,488,816,21,30,199,997,97,29,74,308,162,217,759,73,295,230,95
30362,和歌山県,有田郡広川町,3341,800,32,0,301,458,23,15,97,390,42,19,49,99,96,160,389,60,134,137,40
30366,和歌山県,有田郡有田川町,13860,3693,8,1,1060,1690,61,49,404,1644,159,67,203,404,357,619,1856,248,589,522,226
30381,和歌山県,日高郡美浜町,3310,193,40,0,285,396,29,23,110,392,89,28,57,153,109,211,710,70,130,251,34
30382,和歌山県,日高郡日高町,3658,468,74,0,281,483,36,29,108,419,63,20,69,169,104,216,636,100,147,224,12
30383,和歌山県,日高郡由良町,2768,363,97,0,210,495,15,3,93,332,39,11,39,142,77,117,417,64,138,109,7
30390,和歌山県,日高郡印南町,4171,1306,33,0,275,564,17,22,105,439,53,10,58,134,141,156,450,108,124,152,24
30391,和歌山県,日高郡みなべ町,7275,2531,117,0,433,1029,14,18,169,838,70,26,68,286,145,310,642,151,241,162,25
30392,和歌山県,日高郡日高川町,4972,1254,7,0,492,547,36,18,113,407,67,33,77,236,135,263,709,112,224,235,7
30401,和歌山県,西牟婁郡白浜町,9842,434,106,3,793,935,45,62,287,1371,108,167,176,1733,553,336,1365,172,672,353,171
30404,和歌山県,西牟婁郡上富田町,7245,558,13,1,694,899,33,44,256,920,106,74,146,525,269,417,1309,156,394,283,148
30406,和歌山県,西牟婁郡すさみ町,1692,143,71,4,188,183,7,3,47,183,11,15,27,134,66,56,304,40,96,110,4
30421,和歌山県,東牟婁郡那智勝浦町,6833,223,130,0,601,395,21,30,267,1397,126,47,115,820,282,287,1082,180,500,304,26
30422,和歌山県,東牟婁郡太地町,1313,14,80,0,86,94,8,5,34,200,24,6,21,113,47,100,254,43,71,105,8
30424,和歌山県,東牟婁郡古座川町,1040,141,3,0,94,46,3,2,18,142,10,7,22,60,28,56,190,40,67,107,4
30427,和歌山県,東牟婁郡北山村,174,20,0,0,23,8,0,0,4,10,1,0,2,17,6,7,29,4,6,36,1
30428,和歌山県,東牟婁郡串本町,6748,264,324,0,543,283,24,24,224,1140,95,59,103,533,308,368,1229,191,409,575,52
